construct,profile_1,profile_2,mean_1,mean_2,t_statistic,df,p_value,cohens_d,CI95_lower,CI95_upper
PU,3,5,3.6805555555555554,2.5,10.625163070630956,332.0,3.592265593818314e-17,1.8675274105277793,0.9595787885407857,1.401532322570325
PU,3,6,3.6805555555555554,4.319634703196347,-9.538175020213288,335.0,1.5804312370324843e-16,-1.1928483892884834,-0.771687340410582,-0.5064709548710016
PU,4,5,3.9442176870748296,2.5,13.129461018404665,313.0,1.1278215744065217e-21,2.4692720998104885,1.2253216828681075,1.6631136912815516
PU,4,6,3.9442176870748296,4.319634703196347,-5.762964729143392,316.0,7.316004336386271e-08,-0.7944866256089795,-0.5044816493000907,-0.24635238294294448
PU,5,6,2.5,4.319634703196347,-15.073212362849773,141.0,2.991830309457393e-28,-2.549600709376771,-2.0589400313919946,-1.5803293750006997
PEU,0,1,3.919928825622776,3.0,11.60285879959007,404.0,5.870173758883511e-25,1.2481842612263079,0.7637383705321302,1.0761192807134217
PEU,0,2,3.919928825622776,4.268518518518518,-3.728145258912343,387.0,0.0002619792842494604,-0.4515258289675779,-0.5331566406433397,-0.1640227451481447
PEU,0,3,3.919928825622776,3.422348484848485,7.486057501316493,543.0,2.9796648104879637e-13,0.6435532584142639,0.3670079982092897,0.6281526833392925
PEU,0,4,3.919928825622776,3.73265306122449,3.1141866014408666,524.0,0.0019453997581942932,0.26968427417684465,0.06913784566927962,0.30541368312729256
PEU,0,5,3.919928825622776,2.4285714285714284,12.175147149752622,349.0,9.291406669980091e-21,1.8996914522580612,1.2480206539677743,1.734694140134921
PEU,0,6,3.919928825622776,3.712328767123288,1.7848086077893552,352.0,0.0774093993454093,0.2669337725415787,-0.023244656709991512,0.43844477370896784
PEU,1,2,3.0,4.268518518518518,-12.004460398699663,231.0,1.0998928740379356e-25,-1.5944461734994901,-1.4768149571764593,-1.060222079860577
PEU,1,3,3.0,3.422348484848485,-5.106147072075875,387.0,6.283790543037117e-07,-0.5361394491403425,-0.5852074597627144,-0.2594895099342553
PEU,1,4,3.0,3.73265306122449,-9.427140924784503,368.0,5.8617656175966474e-18,-1.0835756286704255,-0.8858126176922054,-0.5794935047567744
PEU,1,5,3.0,2.4285714285714284,4.328520674301891,193.0,3.210479470070297e-05,0.6945408127394721,0.3099446786088477,0.8329124642482955
PEU,1,6,3.0,3.712328767123288,-5.6397775262525185,196.0,1.0665912071874514e-07,-0.8798860105591926,-0.9622831547706062,-0.4623743794759695
PEU,2,3,4.268518518518518,3.422348484848485,8.775242809044522,370.0,9.975361560027457e-16,1.0265989704735505,0.6559595366677073,1.0363805306723592
PEU,2,4,4.268518518518518,3.73265306122449,5.813441379614477,351.0,3.163257048087172e-08,0.7494376131484102,0.3538433157016554,0.7178875988864011
PEU,2,5,4.268518518518518,2.4285714285714284,13.048124256337278,176.0,9.883613448700311e-26,2.0494535938875433,1.5610837920470715,2.118810387847108
