respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2
350,1,0.0002684571496881061,0.9996192333202913,0.00011230953002038773
351,1,1.5137006759577436e-05,0.99972080921768,0.00026405377556041617
352,1,0.0002684571496881061,0.9996192333202913,0.00011230953002038773
353,1,2.6097185234934053e-06,0.9972241147266147,0.0027732755548616553
354,0,0.963154736542815,0.000838059653401056,0.03600720380378366
355,0,0.7660475856223695,0.1873778224216528,0.04657459195597762
356,0,0.8686258963262286,0.10279671879748609,0.028577384876285535
357,1,0.15178878506026047,0.8088021059208855,0.03940910901885384
358,1,0.14704100636446088,0.7757245984184373,0.07723439521710206
359,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
360,0,0.6671100690388398,0.26355004988644093,0.06933988107471938
361,0,0.7868753442732696,0.14347403938826553,0.06965061633846491
362,1,0.38074881940066146,0.517918011186552,0.10133316941278654
363,0,0.7229136388236292,0.12373321269172173,0.1533531484846489
364,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
365,0,0.6113122533987618,0.13951260775941676,0.24917513884182144
366,1,0.38074881940066146,0.517918011186552,0.10133316941278654
367,1,0.38074881940066146,0.517918011186552,0.10133316941278654
368,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
369,1,0.14704100636446088,0.7757245984184373,0.07723439521710206
370,0,0.8686258963262286,0.10279671879748609,0.028577384876285535
371,2,0.3683763106649401,0.005505745826099623,0.6261179435089601
372,1,0.4227156442367992,0.5143897760584499,0.06289457970475065
373,0,0.9423192022451661,0.04216147235381259,0.01551932540102125
374,1,0.03189741843423411,0.9277937904676032,0.04030879109816285
375,1,0.04236149342470711,0.8443236824476426,0.11331482412765022
376,0,0.7289090795107981,0.17637555912543468,0.09471536136376735
377,0,0.9808060606261992,0.0014867830438800023,0.01770715632992063
378,1,0.16489188238592117,0.6730108856861128,0.16209723192796585
379,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
380,0,0.8874203834103178,0.05156460744823965,0.06101500914144251
381,0,0.7229136388236292,0.12373321269172173,0.1533531484846489
382,0,0.7656504744372816,0.1473649323869845,0.08698459317573387
383,0,0.8722866543548997,0.04187277603014618,0.08584056961495427
384,0,0.7660475856223695,0.1873778224216528,0.04657459195597762
385,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
386,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
387,0,0.8722866543548997,0.04187277603014618,0.08584056961495427
388,0,0.8254081091903747,0.0987456747881031,0.07584621602152236
389,0,0.8254081091903747,0.0987456747881031,0.07584621602152236
390,0,0.7592628253058136,0.1385548410140078,0.10218233368017839
391,0,0.7271651629304703,0.1728569183406231,0.09997791872890663
392,1,0.14704100636446088,0.7757245984184373,0.07723439521710206
393,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
394,1,0.38074881940066146,0.517918011186552,0.10133316941278654
395,2,0.0002735477907317499,0.1287768765360512,0.8709495756732173
396,1,0.03189741843423411,0.9277937904676032,0.04030879109816285
397,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
398,2,0.388398911417941,0.022808712942254193,0.5887923756398049
399,1,0.15178878506026047,0.8088021059208855,0.03940910901885384
400,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
401,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
402,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
403,1,0.03189741843423411,0.9277937904676032,0.04030879109816285
404,1,0.14704100636446088,0.7757245984184373,0.07723439521710206
405,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
406,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
407,0,0.7868753442732696,0.14347403938826553,0.06965061633846491
408,1,0.03189741843423411,0.9277937904676032,0.04030879109816285
409,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
410,0,0.7519874361262812,0.15242221032852168,0.09559035354519745
411,1,0.03189741843423411,0.9277937904676032,0.04030879109816285
412,0,0.8631493518462965,0.08630545287710131,0.05054519527660229
413,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
414,0,0.9643045745481876,0.006307308841064857,0.02938811661074755
415,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
416,0,0.7660475856223695,0.1873778224216528,0.04657459195597762
417,0,0.8874203834103178,0.05156460744823965,0.06101500914144251
418,0,0.5866833386212842,0.2223320699838362,0.19098459139487958
419,0,0.8254081091903747,0.0987456747881031,0.07584621602152236
